sep=,
"title","lastMessageTimestamp","isDeleted","id","userId","createdAt","_rid","_self","_etag","_attachments","_ts"
"How can you help me with this?","2025-06-22T21:32:04.2383184Z","false","d993b706-decb-478e-879e-14bc9cd671fc","fc4121a9d2b34964bb5e0e5efe20d4ad","2025-06-22T18:16:54.6600106Z","rdhqAK5npScqAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScqAAAAAAAAAA==/","""9c00e15e-0000-1600-0000-685876540000""","attachments/","1750627924"
"How much energy does a laptop use over an hour in Wh","2025-06-22T20:49:36.4909569Z","false","54243ab5-6e98-4dae-a6c2-6c5c73d9918b","e6c6fdc37f5247779986718dd20d086e","2025-06-22T20:49:36.4909563Z","rdhqAK5npScrAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScrAAAAAAAAAA==/","""9c00b732-0000-1600-0000-68586c600000""","attachments/","1750625376"
"did the us destroy the nuclear facilities last weekend in iran?","2025-06-23T08:39:08.3332405Z","false","e4e22a0f-ba1b-4799-bbce-fe453e78c46c","a31b03cff7ce4570a611100887b0c69f","2025-06-23T06:41:21.2726489Z","rdhqAK5npScsAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScsAAAAAAAAAA==/","""9f009cd8-0000-1600-0000-685912ac0000""","attachments/","1750667948"
"
  <mgl-layer
    id=""station-trafo-shape""
    type=""circle""
    [source]=""primarySourceName""
    [m","2025-06-23T08:52:42.8785614Z","false","c2da7601-37d0-4575-bdfb-1a513e4b934a","c2b2a951774a41c283448dcc9bec891e","2025-06-23T07:02:41.3309879Z","rdhqAK5npSctAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npSctAAAAAAAAAA==/","""9f0000fa-0000-1600-0000-685915da0000""","attachments/","1750668762"
"Tell me something funny","2025-06-23T07:46:57.2734116Z","true","a4b6aed2-7f34-4f46-b1a8-8f2b9cb45769","fc4121a9d2b34964bb5e0e5efe20d4ad","2025-06-23T07:15:08.3437565Z","rdhqAK5npScuAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScuAAAAAAAAAA==/","""26005b7e-0000-1600-0000-685fe6240000""","attachments/","1751115300"
"hallo","2025-06-23T09:22:14.6104099Z","false","9e92fb35-873b-4940-a3b3-8e27777f6080","574a8d9990e8493287c906ad9d943125","2025-06-23T07:31:20.0647428Z","rdhqAK5npScvAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScvAAAAAAAAAA==/","""a000094b-0000-1600-0000-68591cc60000""","attachments/","1750670534"
"generate image?","2025-06-23T08:53:55.441219Z","false","766344d6-6f55-4b2d-83c7-39313b9555e6","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:53:48.7593956Z","rdhqAK5npScwAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScwAAAAAAAAAA==/","""9f00e0fc-0000-1600-0000-685916230000""","attachments/","1750668835"
"improve: 

<div class=""header"">
  <div class=""header-icon"">
    <ng-container [ngSwitch]=""node()?.no","2025-06-23T08:56:04.0735973Z","false","fdc187ea-3fed-4852-8f48-a03e91dc44b3","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:54:53.4930151Z","rdhqAK5npScxAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScxAAAAAAAAAA==/","""a000e002-0000-1600-0000-685916a40000""","attachments/","1750668964"
"gib mir gesunde rezepte für 4 personen für 5 tage. am abend koche ich vor für das nächste mittagesse","2025-06-23T09:06:57.9212201Z","false","dbd828f2-7f16-4139-bcaa-6438e3022bcd","c2b2a951774a41c283448dcc9bec891e","2025-06-23T08:58:15.3827657Z","rdhqAK5npScyAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npScyAAAAAAAAAA==/","""a000ef1e-0000-1600-0000-685919310000""","attachments/","1750669617"
"generate 1000 markers with different geolocaions:

 <mgl-marker [lngLat]=""[-66.324462890625, -16.024","2025-06-23T09:17:08.0756309Z","false","06d8a18f-307f-40d2-be2a-ebfabbec744a","c2b2a951774a41c283448dcc9bec891e","2025-06-23T09:14:58.7858006Z","rdhqAK5npSczAAAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAK5npSc=/docs/rdhqAK5npSczAAAAAAAAAA==/","""a000e43b-0000-1600-0000-68591b940000""","attachments/","1750670228"
